,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,Inuvik,68.3499,-133.7218,56.26,62,75,4.61,CA,1629674990
355,Fort Nelson,58.8053,-122.7002,51.39,66,75,6.91,CA,1629674991
356,Vieux Fort,13.7167,-60.95,79.92,89,75,19.57,LC,1629674991
357,La Libertad,-2.2333,-80.9,68.99,84,92,12.75,EC,1629674991
358,Walvis Bay,-22.9575,14.5053,55.09,87,6,6.91,NA,1629674992
359,Olinda,-8.0089,-34.8553,76.73,73,75,10.36,BR,1629674993
360,Troy,42.6056,-83.1499,86.68,74,67,1.01,US,1629674990
361,Muzhi,65.3667,64.6667,60.55,91,97,5.14,RU,1629674994
362,Panzhihua,26.5851,101.7128,71.76,96,100,1.68,CN,1629674994
363,Molteno,-31.3968,26.3625,41.52,54,0,4.23,ZA,1629674995
364,Baykit,61.67,96.37,52.36,89,95,2.55,RU,1629674996
365,Coron,11.9986,120.2043,79.5,85,99,6.08,PH,1629674996
366,San Ignacio Río Muerto,27.4167,-110.2333,108.12,30,2,18.59,MX,1629674997
367,Klyuchi,52.2667,79.1667,55.58,57,0,8.39,RU,1629674997
368,Misratah,32.3754,15.0925,80.65,66,0,7.67,LY,1629674998
369,Thompson,55.7435,-97.8558,59.16,55,90,5.75,CA,1629674998
370,San Miguel de Cozumel,20.5083,-86.9458,85.98,88,90,1.01,MX,1629674999
371,Baiquan,47.5833,126.0833,65.5,85,0,3.96,CN,1629675000
372,Kieta,-6.2167,155.6333,83.7,72,69,7.61,PG,1629675000
373,Xining,36.6167,101.7667,51.8,85,11,2.66,CN,1629675000
374,Rantepao,-2.9701,119.8978,71.19,84,84,1.23,ID,1629675001
375,Alofi,-19.0595,-169.9187,76.89,83,12,10.36,NU,1629675001
376,Camacha,33.0833,-16.3333,69.22,73,20,8.05,PT,1629675001
377,Kahului,20.8947,-156.47,87.06,79,40,18.41,US,1629674716
378,Zachary,30.6485,-91.1565,94.66,52,1,8.05,US,1629675005
379,Kachug,53.9606,105.8817,55.71,88,81,6.91,RU,1629675005
380,Örebro,59.2741,15.2066,48.38,93,29,2.3,SE,1629675006
381,Ucluelet,48.9329,-125.5528,69.1,68,31,12.73,CA,1629674831
382,Lhokseumawe,5.1801,97.1507,75.43,87,100,3.8,ID,1629675007
383,Chumikan,54.7183,135.315,56.8,95,100,11.32,RU,1629675008
384,Kavieng,-2.5744,150.7967,83.52,69,94,4.79,PG,1629675009
385,Kapuskasing,49.4169,-82.4331,73.49,53,1,1.14,CA,1629675009
386,Santa Maria,-29.6842,-53.8069,65.5,82,0,2.3,BR,1629675010
387,Poya,-21.35,165.15,74.44,55,4,6.08,NC,1629675012
388,Narón,43.5167,-8.1528,68.59,83,32,13.89,ES,1629675015
389,Olsztyn,53.7799,20.4942,57.16,83,100,5.46,PL,1629675016
390,Totness,5.8833,-56.3167,79.56,88,76,10.69,SR,1629675017
391,Almenara,-16.1836,-40.6944,69.49,76,83,3.96,BR,1629675018
392,Meulaboh,4.1363,96.1285,76.62,86,100,3.87,ID,1629675018
393,Porto Tolle,44.9497,12.3245,77.11,71,47,3.76,IT,1629675019
394,Dudinka,69.4058,86.1778,51.82,98,98,5.79,RU,1629675021
395,Santa Rosalía,27.3167,-112.2833,90.61,32,0,5.84,MX,1629675021
396,Mossamedes,-15.1961,12.1522,59.59,86,3,4.68,AO,1629675022
397,Arrondissement de Verdun,49.25,5.3333,61.16,97,42,7.9,FR,1629675022
398,Viseu,40.661,-7.9097,69.69,73,0,3.33,PT,1629675022
399,Najrān,17.4924,44.1277,77.65,28,86,3.11,SA,1629675023
400,San Rafael,-34.6177,-68.3301,56.62,23,44,4.03,AR,1629675023
401,Coyhaique,-45.5752,-72.0662,35.55,69,40,3.44,CL,1629675023
402,Vestmanna,62.1564,-7.1664,50.92,100,90,6.91,FO,1629675024
403,Wajir,1.7471,40.0573,74.25,62,5,15.01,KE,1629675024
404,Bartica,6.4,-58.6167,77.32,98,88,2.84,GY,1629675025
405,Ambulu,-8.345,113.6058,74.88,79,88,3.11,ID,1629675026
406,Tutóia,-2.7619,-42.2744,79.29,79,3,12.44,BR,1629675027
407,Coahuayana Viejo,18.7333,-103.6833,83.68,92,100,2.24,MX,1629675027
408,Laredo,27.5064,-99.5075,100.4,35,40,16.11,US,1629675028
409,Ta Khmau,11.4833,104.95,80.65,83,40,2.3,KH,1629675028
410,Manado,1.487,124.8455,75.97,94,40,0.0,ID,1629675029
411,Araouane,18.9048,-3.5265,92.43,34,23,6.49,ML,1629675029
412,Bachaquero,9.9694,-71.1494,85.08,72,66,6.78,VE,1629675030
413,Severomuysk,56.1481,113.4267,45.21,95,99,4.54,RU,1629675030
414,Orcopampa,-15.2661,-72.3417,49.93,22,33,5.48,PE,1629675032
415,Makkah al Mukarramah,21.4267,39.8261,91.18,30,45,4.68,SA,1629675033
416,Sisimiut,66.9395,-53.6735,45.34,86,74,0.27,GL,1629675033
417,Hambantota,6.1241,81.1185,78.49,84,100,9.51,LK,1629675033
418,Bonthe,7.5264,-12.505,75.54,91,100,7.38,SL,1629675034
419,Hobyo,5.3505,48.5268,76.78,87,5,21.39,SO,1629675034
420,Kaeo,-35.1,173.7833,59.32,69,100,10.78,NZ,1629675034
421,Biasong,10.5229,123.736,80.53,76,87,1.23,PH,1629675034
422,Palafrugell,41.9174,3.1631,76.57,68,1,4.85,ES,1629675035
423,Abilene,32.4487,-99.7331,97.29,33,1,1.01,US,1629674788
424,Hay River,60.8156,-115.7999,49.98,71,75,8.05,CA,1629674780
425,Enshi,30.3,109.4833,75.42,98,100,2.04,CN,1629675035
426,El Sauzal de Rodríguez,31.9,-116.6833,70.83,68,0,10.4,MX,1629675036
427,Chifeng,42.2683,118.9636,65.23,64,0,5.37,CN,1629674861
428,Saurimo,-9.6608,20.3916,72.86,56,94,3.6,AO,1629675038
429,Asbestovskiy,57.7557,61.3967,64.94,54,1,6.06,RU,1629675038
430,Youghal,51.95,-7.8506,63.61,100,81,1.77,IE,1629675040
431,Shizuishan,39.2333,106.7694,69.49,22,98,11.54,CN,1629675040
432,Kushva,58.2906,59.7592,65.16,49,0,5.57,RU,1629675041
433,Sal Rei,16.1833,-22.9167,81.16,88,18,13.06,CV,1629675041
434,Bakel,14.905,-12.4568,81.41,84,35,13.96,SN,1629675042
435,Tefé,-3.3542,-64.7114,84.22,46,71,1.07,BR,1629675042
436,Lata,40.1629,-8.3327,66.04,83,0,2.62,PT,1629675043
437,Margate,51.3813,1.3862,63.7,91,93,4.0,GB,1629675043
438,Nome,64.5011,-165.4064,57.16,62,1,5.75,US,1629675044
439,Rāzampeta,14.1833,79.1667,77.67,79,68,2.28,IN,1629675044
440,Yulara,-25.2406,130.9889,53.44,43,0,17.27,AU,1629675044
441,Iberia,29.9502,-91.7507,94.1,58,1,10.36,US,1629675045
442,Abadan,38.0507,58.2056,80.33,24,0,6.91,TM,1629675045
443,Doha,25.2867,51.5333,93.09,71,0,2.3,QA,1629675045
444,Bubaque,11.2833,-15.8333,79.38,79,100,10.18,GW,1629675046
445,Pavlodar,52.3,76.95,51.6,82,0,6.71,KZ,1629675046
446,Rosetta,31.4044,30.4164,78.62,72,0,13.27,EG,1629675046
447,Médéa,36.2642,2.7539,64.85,33,100,1.59,DZ,1629675048
448,Beyneu,45.3167,55.2,80.62,21,0,3.29,KZ,1629675049
449,Saint-Joseph,-21.3667,55.6167,62.96,67,0,7.56,RE,1629675049
450,Jardim,-21.4803,-56.1381,79.27,29,0,4.03,BR,1629675050
451,Masuguru,-11.3667,38.4167,72.05,80,2,5.06,TZ,1629674833
452,Marawi,7.9986,124.2928,67.64,84,66,0.94,PH,1629675051
453,Peace River,56.2501,-117.286,48.51,93,90,23.02,CA,1629674860
454,Emerald,-23.5333,148.1667,66.34,77,90,9.22,AU,1629675052
455,Lakes Entrance,-37.8811,147.981,51.19,87,99,17.92,AU,1629675053
456,Yagodnoye,62.55,149.6667,74.28,55,99,3.33,RU,1629675054
457,Porto-Novo,6.4965,2.6036,76.82,93,100,5.01,BJ,1629675054
458,Launceston,-41.45,147.1667,53.24,86,90,4.0,AU,1629675055
459,Calatayud,41.3535,-1.6432,72.18,65,26,3.31,ES,1629675055
460,Arrondissement du Havre,49.5833,0.3333,63.0,82,90,8.05,FR,1629675055
461,Durban,-29.8579,31.0292,62.02,80,97,3.0,ZA,1629674994
462,Puerto Ayacucho,5.6639,-67.6236,78.13,87,100,3.53,VE,1629675056
463,Yarensk,62.1675,49.0916,59.83,97,70,9.35,RU,1629675056
464,Aykhal,66.0,111.5,55.67,53,71,9.22,RU,1629675056
465,Makakilo City,21.3469,-158.0858,89.92,49,20,9.22,US,1629674882
466,Erenhot,43.6475,111.9767,69.06,25,25,19.15,CN,1629675057
467,Dubuque,42.4833,-90.8668,79.56,60,1,3.44,US,1629674630
468,Ballina,-28.8667,153.5667,71.56,60,7,11.5,AU,1629675057
469,Jinan,36.6683,116.9972,72.32,82,100,8.05,CN,1629675058
470,Vestmannaeyjar,63.4427,-20.2734,54.99,97,100,22.93,IS,1629675058
471,Águas Vermelhas,-15.7472,-41.46,60.67,92,24,4.97,BR,1629675059
472,Sambava,-14.2667,50.1667,66.25,85,31,10.31,MG,1629675060
473,Salaga,8.5508,-0.5188,73.27,94,89,4.41,GH,1629675061
474,Lagoa,39.05,-27.9833,73.67,90,63,13.24,PT,1629675061
475,Bereda,43.2686,-7.5406,64.15,99,60,7.87,ES,1629675062
476,Aljezur,37.3191,-8.8033,64.76,86,1,8.86,PT,1629675062
477,Qaqortoq,60.7167,-46.0333,55.9,79,56,3.87,GL,1629675063
478,Ząbkowice Śląskie,50.5897,16.8124,62.8,93,100,3.76,PL,1629675064
479,Xingcheng,40.6167,120.7167,78.51,85,80,13.91,CN,1629675064
480,Sorong,-0.8833,131.25,79.11,85,97,8.08,ID,1629675065
481,Ashland,40.8167,-82.2665,82.99,81,0,3.74,US,1629675065
482,Tocopilla,-22.092,-70.1979,62.28,72,19,6.35,CL,1629675066
483,Along,28.1667,94.7667,74.26,99,100,0.29,IN,1629675066
484,Emirdağ,39.0197,31.15,63.7,75,41,3.42,TR,1629675067
485,Kabinda,-6.1333,24.4833,71.82,63,22,4.54,CD,1629675067
486,Porto Velho,-8.7619,-63.9039,84.25,65,32,0.0,BR,1629675067
487,Vadsø,70.0744,29.7487,43.68,77,97,9.33,NO,1629675067
488,Mwanza,-2.5167,32.9,71.94,74,15,3.02,TZ,1629675068
489,Gamba,-2.65,10.0,72.07,82,52,6.2,GA,1629675068
490,Puerto El Triunfo,13.2833,-88.55,88.66,79,96,4.16,SV,1629675068
491,Sassandra,4.95,-6.0833,73.67,91,87,2.93,CI,1629675069
492,Ajdabiya,30.7554,20.2263,78.53,50,0,9.28,LY,1629675069
493,Sawākin,19.1059,37.3321,89.24,55,60,6.53,SD,1629675069
494,Görele,41.0308,39.0031,71.04,88,97,2.82,TR,1629675008
495,Hue,16.4667,107.6,82.51,69,20,5.75,VN,1629675072
496,Nichinan,31.6,131.3667,80.28,83,98,6.02,JP,1629675072
497,Xihe,31.6864,113.4659,74.79,97,100,4.9,CN,1629675073
498,San Cristobal,7.7669,-72.225,78.98,93,39,2.66,VE,1629675074
499,Benguela,-12.5763,13.4055,71.13,83,95,3.49,AO,1629675074
500,Noumea,-22.2763,166.4572,75.18,51,61,12.88,NC,1629675075
501,Jerome,42.7241,-114.5186,80.15,22,1,4.61,US,1629675075
502,Kapoeta,4.7717,33.5903,70.2,88,0,3.2,SS,1629675076
503,West Wendover,40.7391,-114.0733,78.01,29,1,9.22,US,1629675076
504,Yeruham,30.9872,34.9314,68.54,84,0,9.64,IL,1629675077
505,Skibbereen,51.55,-9.2667,64.2,91,77,1.54,IE,1629675077
506,Beni Suef,29.0731,31.0979,80.24,51,0,11.48,EG,1629675078
507,Chaihe,44.7667,129.7,67.91,81,44,9.48,CN,1629675078
508,Rāmpura,30.25,75.2333,76.51,91,9,5.53,IN,1629675078
509,‘Āhuimanu,21.4447,-157.8378,91.11,58,20,14.97,US,1629675078
510,Ha Giang,22.8333,104.9833,79.75,96,83,0.31,VN,1629675079
511,Khovd,48.0056,91.6419,48.83,64,41,2.84,MN,1629675079
512,Garoowe,8.4054,48.4845,75.31,69,47,17.65,SO,1629675079
513,Katima Mulilo,-17.5,24.2667,65.79,41,2,5.39,NA,1629675080
514,Atasū,48.6814,71.6433,61.99,50,0,11.83,KZ,1629675080
515,Tucumcari,35.1717,-103.725,93.04,27,1,21.85,US,1629675081
516,Pimentel,-6.8367,-79.9342,64.69,83,0,5.01,PE,1629675082
517,Narva-Jõesuu,59.4589,28.0408,57.04,87,64,13.82,EE,1629675082
518,Woodstock,43.1334,-80.7497,83.8,72,30,2.04,CA,1629674714
519,Teguise,29.0605,-13.564,68.22,78,20,18.41,ES,1629675084
520,Dicabisagan,17.0818,122.4157,83.75,75,95,6.22,PH,1629675085
521,Sidi Ali,36.0998,0.4206,81.0,60,61,5.03,DZ,1629675085
522,Ust-Kuyga,70.0167,135.6,47.16,89,100,3.87,RU,1629675086
523,Flin Flon,54.7682,-101.865,64.24,34,90,3.44,CA,1629675086
524,Taoudenni,22.6783,-3.9836,92.93,36,7,28.77,ML,1629675087
525,Nyurba,63.2842,118.3319,53.71,65,2,4.32,RU,1629675088
526,Liepāja,56.5419,21.0367,51.85,93,4,2.3,LV,1629675088
527,Xai-Xai,-25.0519,33.6442,66.09,77,30,8.52,MZ,1629675089
528,Magrath,49.4167,-112.8686,73.08,30,28,16.11,CA,1629675089
529,São João da Barra,-21.6403,-41.0511,71.76,84,0,20.83,BR,1629675089
530,Gazli,40.1333,63.45,79.92,22,0,8.25,UZ,1629675090
531,Silvassa,20.2667,73.0167,74.64,93,28,4.68,IN,1629675090
532,Mayo,38.8876,-76.5119,79.21,88,1,1.99,US,1629675090
533,Monte Alegre,-2.0078,-54.0692,81.39,56,24,5.1,BR,1629675090
534,Golub-Dobrzyń,53.1109,19.0538,60.4,83,100,7.78,PL,1629675091
535,Puyang,29.4603,119.8861,79.52,92,100,2.8,CN,1629675091
536,Mangan,27.5167,88.5333,75.7,97,100,0.72,IN,1629675091
537,Kitami,43.8031,143.8908,63.86,96,100,6.64,JP,1629675092
538,Weligama,5.9667,80.4167,77.79,84,100,5.61,LK,1629675092
539,Turan,16.0678,108.2208,82.45,83,20,3.44,VN,1629675093
540,Horodyshche,49.2849,31.4451,58.21,65,32,3.06,UA,1629675094
541,Vardø,70.3705,31.1107,44.33,72,100,14.65,NO,1629675094
542,Serdobsk,52.4586,44.2169,61.03,71,54,3.11,RU,1629675095
543,Sajanan,37.0573,9.2426,71.87,56,0,2.84,TN,1629675095
544,Kloulklubed,7.0419,134.2556,84.7,69,87,4.61,PW,1629675096
545,La Ronge,55.1001,-105.2842,62.82,48,75,8.05,CA,1629675096
546,Alekseyevsk,57.8406,108.3492,60.42,64,66,3.29,RU,1629675097
547,Jacareacanga,-6.2222,-57.7528,83.05,34,1,2.24,BR,1629675097
548,Faanui,-16.4833,-151.75,78.19,78,7,12.37,PF,1629675098
549,Vila do Maio,15.1333,-23.2167,83.19,88,56,15.77,CV,1629675098
550,Petropavlovsk-Kamchatskiy,53.0452,158.6483,59.59,94,75,2.24,RU,1629675098
551,Cabo San Lucas,22.8909,-109.9124,93.51,75,90,1.99,MX,1629674800
552,Oriximiná,-1.7656,-55.8661,84.29,50,57,1.9,BR,1629675099
553,Gómez Palacio,25.5667,-103.5,93.07,24,40,9.22,MX,1629675100
554,Balsas,-7.5325,-46.0356,84.13,28,23,4.32,BR,1629675100
555,Palora,-1.7,-77.9333,75.31,95,61,2.84,EC,1629675100
556,Belfast,54.5833,-5.9333,56.37,94,31,2.3,GB,1629674990
557,Şile,41.1754,29.6133,75.56,65,2,4.0,TR,1629675101
558,Sarangani,5.4033,125.4636,82.0,73,98,5.1,PH,1629675101
559,Inhambane,-23.865,35.3833,70.05,76,68,11.9,MZ,1629675101
560,Pemangkat,1.1667,108.9667,77.16,85,100,4.9,ID,1629675102
561,Geraldton,-28.7667,114.6,48.61,76,35,10.36,AU,1629675102
562,Torbay,47.6666,-52.7314,53.67,86,75,5.75,CA,1629675102
563,General Roca,-39.0333,-67.5833,50.4,36,0,21.94,AR,1629675103
564,Malabo,3.75,8.7833,73.26,83,20,5.75,GQ,1629675103
565,Dukat,62.55,155.55,71.64,56,98,5.77,RU,1629675103
566,Bandi̇̄pur,27.9333,84.4167,67.86,94,100,2.15,NP,1629675104
567,Nishifukuma,33.7667,130.4667,80.6,86,100,4.74,JP,1629675104
568,Uthal,25.8072,66.6219,78.75,84,44,3.06,PK,1629675105
569,Krasnosel'kup,65.7,82.4667,55.98,79,59,1.48,RU,1629675106
570,Calbuco,-41.768,-73.1273,42.01,75,88,5.12,CL,1629675106
571,Grindavik,63.8424,-22.4338,55.87,94,90,21.85,IS,1629675107
572,Rome,43.2128,-75.4557,82.54,81,90,3.44,US,1629675108
573,Kiruna,67.8557,20.2251,40.12,93,90,3.44,SE,1629675109
574,Aromashevo,56.8602,68.6375,68.94,55,1,5.35,RU,1629675110
575,Grand Gaube,-20.0064,57.6608,70.2,69,4,1.99,MU,1629675111
576,Skjervøy,70.0311,20.9714,46.62,79,99,6.82,NO,1629675111
577,Huadian,42.9633,126.7478,70.12,85,63,6.02,CN,1629675112
578,Broken Hill,-31.95,141.4333,49.71,71,75,14.97,AU,1629675082
579,Amahai,-3.3333,128.9167,79.12,83,100,1.05,ID,1629675112
580,Impfondo,1.6381,18.0667,75.06,73,73,1.63,CG,1629675112
581,Constitución,-35.3333,-72.4167,48.13,77,29,9.13,CL,1629675113
582,Lorengau,-2.0226,147.2712,80.85,81,100,7.65,PG,1629675113
583,Chabahar,25.2919,60.643,78.62,88,61,8.88,IR,1629675113
584,Togur,58.3631,82.8265,60.15,99,100,6.06,RU,1629675114
